"participantID","videoID","order","condition","comprehensionCheckQ1Correct","comprehensionCheckQ2Correct","accuracy","IRI_EC","IRI_PT","IRI_PD","LT_Empathy","SPS","SIAS","gender","age"
"cd09cd99","124_3",1,"both",TRUE,TRUE,0.612622946890242,23,20,0,12,3,3,"M",48
"05344e8f","121_5",1,"both",TRUE,TRUE,0.787115959964245,8,14,1,14,20,13,"M",31
"475d5b69","170_2",1,"both",TRUE,TRUE,-0.600287254258474,23,12,20,14,43,61,"M",42
"0153ee62","153_3",1,"both",TRUE,TRUE,0.458180104888327,27,20,14,13,52,70,"F",29
"cfac501b","129_5",1,"both",TRUE,TRUE,0.874069588376477,24,23,20,12,5,11,"F",45
"054213d4","116_5",1,"both",TRUE,TRUE,-0.217608529977104,27,28,6,12,35,41,"M",40
"49232f22","174_2",1,"both",TRUE,TRUE,0.781548678769159,28,22,0,12,22,17,"F",50
"af810319","178_6",1,"both",TRUE,TRUE,0.738314898569364,28,28,9,12,4,6,"F",45
"9a5f2ecd","171_1",1,"both",FALSE,TRUE,0.371482384045685,20,26,7,12,7,10,"M",24
"1a89b5c0","173_6",1,"both",TRUE,TRUE,0.917947009092952,24,24,10,12,21,21,"F",27
"11339361","173_6",1,"both",TRUE,TRUE,0.0178302228574245,19,19,18,11,4,6,"M",55
"d1144cb1","153_3",1,"both",TRUE,TRUE,0.500078449977269,8,21,2,13,21,37,"M",19
"d1ea4a3c","151_2",1,"both",TRUE,TRUE,0.808034214291566,19,15,11,15,5,25,"M",28
"5a426f16","173_4",1,"both",TRUE,TRUE,0.56237017449362,22,24,5,10,41,42,"M",24
"dea85df8","178_6",1,"both",TRUE,TRUE,0.614628869631647,7,0,13,12,75,76,"F",42
"d7976bb7","129_5",1,"both",TRUE,TRUE,0.953539128742097,25,28,1,12,1,7,"M",26
"adb0cbd4","129_2",1,"both",TRUE,TRUE,-0.116798202866983,23,24,3,11,8,12,"F",33
"07c176cc","181_4",1,"both",TRUE,TRUE,0.703136196103382,28,28,7,12,15,17,"F",48
"5300d05f","151_2",1,"both",TRUE,TRUE,0.962675648563659,28,28,0,12,4,4,"M",27
"34516c42","174_2",1,"both",TRUE,FALSE,0.561651132493612,28,19,19,13,46,51,"F",36
"56fc6afb","181_4",1,"both",TRUE,TRUE,0.64283428068325,26,21,7,13,0,10,"F",49
"afea7a60","171_1",1,"both",TRUE,TRUE,0.402036501110752,28,22,10,12,0,6,"F",63
"ca173728","124_3",1,"both",FALSE,TRUE,0.413091870436261,25,18,0,14,17,22,"F",55
"78d69a9d","174_3",1,"both",TRUE,TRUE,0.876519769684278,28,28,8,13,47,66,"F",34
"535e9fea","153_3",1,"both",FALSE,TRUE,0.0452409893054981,23,28,13,12,30,59,"F",39
"dd25cb2b","116_5",1,"both",TRUE,TRUE,0.129153675049273,26,22,18,12,40,48,"F",29
"42d65674","178_6",1,"both",TRUE,TRUE,-0.256833816826159,12,15,3,13,18,31,"M",32
"1d67ee57","173_6",1,"both",TRUE,TRUE,0.838061111354647,21,24,18,12,27,44,"F",47
